experiment,augmentation,label_smoothing,best_epoch,val_accuracy,test_top1_accuracy,test_top5_accuracy,test_macro_f1
baseline_ce,basic,0.0,7,0.9219600725952813,0.9102447869446962,0.9918404351767905,0.9098005370364632
label_smoothing_01,basic,0.1,10,0.9274047186932849,0.9129646418857661,0.9891205802357208,0.9129889086003489
randaugment_n2_m9,randaugment,0.0,8,0.9165154264972777,0.9120580235720761,0.9927470534904805,0.9112948544245417
